"Story ID","Epic","Sprint","Story Title","Story Type","Story Points","Priority","Status","Dependencies","Spec Strategy","Acceptance Criteria","Notes"
"DP-11","Gates","Sprint 3","Checkpoint Completion Lambda (4 types)","Backend","4","High","Backlog","DP-02,DP-03","gates-architecture.md §2.2, §4","AC:
- PATCH /api/projects/{projectId}/checkpoints/{checkpointId} completes a checkpoint per §2.2
- human_review type: accepts {reviewed_by: string}, sets reviewed_by, reviewed_at=now(), reached_at=now() per §4
- meeting type: accepts {occurred: boolean, meeting_date?: string, meeting_link?: string, result_detail?: string}, sets fields + reached_at=now() per §4
- transcript_analysis type: same as meeting (manual completion) per §4; analysis result set separately via FR-P2-005
- checklist type: completion determined by all child items being checked (auto-computed), not manually set per §4
- A checkpoint cannot be un-completed once reached_at is set (append-only) per FR-P2-008
- Returns 409 {code: 'CHECKPOINT_ALREADY_COMPLETE'} if reached_at already set per §4
- Returns 404 {code: 'CHECKPOINT_NOT_FOUND'} if checkpointId invalid per §2.2
- Auth: pm, sa, leadership, admin per §2.2","4 checkpoint types with different completion logic."
"DP-12","Gates","Sprint 3","Evidence Attachment Lambda","Backend","3","High","Backlog","DP-02,DP-03","gates-architecture.md §2.3, §6","AC:
- POST /api/projects/{projectId}/checkpoints/{checkpointId}/evidence attaches evidence per §2.3
- Accepts body: {evidence_type: 'meeting_link'|'file_upload'|'url', value: string, label?: string} per §2.3
- Creates gate_evidence row with uploaded_by=current user, created_at=now() per §2.3
- For evidence_type='meeting_link': validates URL matches https://app.avoma.com/* pattern per §6.1
- For evidence_type='file_upload': value must be a valid S3 key (validated format, not existence) per §6.3
- Multiple evidence items can be attached to one checkpoint per FR-P2-003
- GET /api/projects/{projectId}/checkpoints/{checkpointId}/evidence lists all evidence per §2.3
- Returns 404 if checkpoint not found per §2.3
- Auth: pm, sa, leadership, admin per §2.3","Evidence links checkpoints to files/links."
"DP-13","Files","Sprint 3","Files Domain — Presigned URL Lambdas (upload + download)","Backend","4","High","Backlog","DP-01,DP-03","files-architecture.md §4.1, §4.2, §7","AC:
- POST /api/files/upload-url returns {uploadUrl, s3Key, expiresIn: 300} per §4.1
- Accepts body: {projectId, phase, checkpointName, fileName, contentType} per §4.1
- Validates contentType against allowed MIME types: application/pdf, application/vnd.openxmlformats-officedocument.*, image/png, image/jpeg, text/plain, text/markdown per §4.1
- Validates fileName length <= 255 chars per §4.1
- Returns 400 {code: 'INVALID_CONTENT_TYPE'} for unsupported MIME types per §4.1
- S3 key format: evidence/{projectId}/{phase}/{checkpointName}/{ulid}_{fileName} per §4.1
- POST /api/files/download-url returns {downloadUrl, expiresIn: 300} per §4.2
- Accepts body: {s3Key} per §4.2
- Validates user has access to the project (project-membership check) per §4.2, §7.2
- Returns 403 {code: 'FORBIDDEN'} if user has no access to project per §4.2
- Auth: all authenticated roles for upload; all authenticated roles for download per §4.1, §4.2","Stateless domain — no DB writes. S3 presigned URLs."
"DP-14","Meetings","Sprint 3","Weekly Status Call Log Handlers (create + list)","Backend","4","High","Backlog","DP-02,DP-03","meetings-architecture.md §2.1, §2.2","AC:
- POST /api/projects/{projectId}/status-logs creates a status log entry per §2.1
- Accepts body: {log_date: string, meeting_link?: string, topics_covered: string, demo_items?: string, blockers?: string} per §2.1
- Validates log_date is not in the future; returns 400 {code: 'VALIDATION_ERROR', field: 'log_date', message: 'Date cannot be in the future'} per §2.1
- Validates topics_covered max 4000 chars, demo_items max 2000 chars, blockers max 2000 chars per §2.1
- Sets logged_by to current user email per §2.1
- Returns 201 with created log entry per §2.1
- GET /api/projects/{projectId}/status-logs returns all logs sorted by log_date DESC per §2.2
- Supports pagination: limit (default 20, max 50), cursor per §2.2
- Auth: pm, leadership, admin for create; all roles for list per §2.1, §2.2","Weekly cadence — PM logs each client call."
"DP-15","Frontend","Sprint 4","React + Vite + Tailwind Scaffold + Cognito Auth Flow","Frontend","4","High","Backlog","DP-04","auth-architecture.md §1.3, §1.4, §5","AC:
- Vite + React + TypeScript project initialized in frontend/ directory
- Tailwind CSS configured with design tokens
- Cognito Hosted UI integration: login redirects to Cognito, callback exchanges code for tokens per auth-architecture §1.3
- PKCE flow implemented per §1.3
- Access token stored in memory (not localStorage) per auth-architecture §4
- Refresh token flow: silent refresh before expiry per §4
- Protected route wrapper redirects unauthenticated users to /login
- AuthContext provides: user (email, name, role, groups), isAuthenticated, logout()
- Logout clears tokens and redirects to /login
- Responsive layout shell with sidebar navigation","Foundation for all frontend pages."
"DP-16","Frontend","Sprint 4","Project List Page + Search/Filter","Frontend","4","High","Backlog","DP-05,DP-15","projects-architecture.md §2.1, FR-P2-001, FR-P2-015","AC:
- Page renders at /projects route
- Calls GET /api/projects with current filters per projects-architecture §2.1
- Displays project cards with: title, jira_key, current_phase badge, project_type, project_manager, solution_architect, status per FR-P2-001
- Burn rate badge on each card: green (0-70%), yellow (71-90%), red (91%+); hidden if sow_hours null per FR-P2-028
- Search bar filters by title or jira_key (debounced 300ms) per FR-P2-015
- Dropdown filters: status, phase, project_manager, solution_architect, project_type per FR-P2-015
- Filters combine with AND logic per FR-P2-015
- Filter state persists in localStorage per FR-P2-015
- Empty state: 'No projects match your filters' message per FR-P2-015
- Click project card navigates to /projects/{projectId} per FR-P2-001
- Pagination via cursor-based loading (Load More button)","Main entry page after login."
"DP-17","Frontend","Sprint 4","Project Detail Page (Gate Status View)","Frontend","4","High","Backlog","DP-10,DP-15","gates-architecture.md §2.1, FR-P2-002, FR-P2-014","AC:
- Page renders at /projects/{projectId} route
- Calls GET /api/projects/{projectId}/gates per gates-architecture §2.1
- Shows all 5 CASDM phases (0-4) with visual separation per FR-P2-002
- Phase progression indicator: completed phases green, current phase blue, future phases grey per FR-P2-014
- Each phase expandable/collapsible showing micro_artifacts and macro_checkpoints per FR-P2-002
- Micro artifacts show: name, status badge (pending/in_progress/complete), completed_at per FR-P2-002
- Macro checkpoints show: name, type badge, occurred status, reviewed_by, meeting_date, reached_at, evidence count badge per FR-P2-002
- Completed items visually distinct (green checkmark + muted text) per FR-P2-002
- Pending items show action buttons (Mark Complete, Add Evidence) per FR-P2-002
- Loading state shown while fetching; 404 shows 'Project not found'","Core governance view page."
"DP-18","Frontend","Sprint 4","Evidence Attachment UI + File Upload","Frontend","3","High","Backlog","DP-12,DP-13,DP-15","gates-architecture.md §2.3, §6, files-architecture.md §4.1, FR-P2-003, FR-P2-012","AC:
- 'Add Evidence' button on each macro checkpoint opens modal per FR-P2-003
- Modal offers 3 options: Paste Meeting Link, Upload File, Enter URL per FR-P2-003
- Meeting Link: validates URL matches https://app.avoma.com/* before submit per gates-architecture §6.1
- File Upload: file picker restricted to PDF, DOCX, XLSX, PNG, JPG, TXT, MD per FR-P2-012
- Client-side validation: reject files > 25 MB with 'File size exceeds 25 MB limit' per FR-P2-012
- Upload flow: calls POST /api/files/upload-url → uploads to S3 via presigned PUT → calls POST /evidence with s3Key per files-architecture §4.1
- Upload progress indicator shown per FR-P2-012
- URL: accepts any valid URL, saves with evidence_type='url' per FR-P2-003
- Evidence list below checkpoint shows: label, type icon, value (clickable), uploaded_by, created_at per FR-P2-003
- Download button calls POST /api/files/download-url and opens presigned GET URL per files-architecture §4.2","3-way evidence attachment with S3 direct upload."
"DP-19","Frontend","Sprint 4","Onboarding Checklist UI","Frontend","2","High","Backlog","DP-08,DP-15","projects-architecture.md §3.3, FR-P2-019","AC:
- Checklist section visible under Phase 0 on project detail page per FR-P2-019
- Displays 9 items as checkboxes with item_name label per FR-P2-019
- Progress indicator shows 'X of 9 complete' per FR-P2-019
- Clicking checkbox calls PATCH /api/projects/{projectId}/checklist/{itemId} per projects-architecture §3.3
- Checked items show completed_by and completed_at below the label per FR-P2-019
- Unchecking clears completed_by and completed_at per FR-P2-019
- Optimistic UI update with rollback on error","Phase 0 onboarding tracking."
"DP-20","Frontend","Sprint 4","Weekly Status Log UI + Resource Budget Display","Frontend","3","High","Backlog","DP-09,DP-14,DP-15","meetings-architecture.md §2.1, §2.2, projects-architecture.md §3.2, FR-P2-020, FR-P2-022","AC:
- Status Logs section on project detail page per FR-P2-020
- 'Log Status Call' button opens form with: log_date (date picker), meeting_link, topics_covered (textarea), demo_items (textarea), blockers (textarea) per FR-P2-020
- Form validates log_date not in future per FR-P2-020
- On submit, calls POST /api/projects/{projectId}/status-logs per meetings-architecture §2.1
- Chronological list shows all logs: date, meeting link (clickable), topics, demo items, blockers, logged_by per FR-P2-020
- Resource Budget section in project detail header per FR-P2-022
- Shows: SOW Hours, Hours Consumed, Burn Rate % with color indicator (green/yellow/red) per FR-P2-022
- 'Update Hours' button opens inline editor for hours_consumed per FR-P2-022
- If sow_hours null/0, shows 'SOW hours not set' per FR-P2-022","Combined UI for status logs and budget."
"DP-21","Meetings","Sprint 5","Escalation Board Handlers (create + resolve + list)","Backend","4","High","Backlog","DP-02,DP-03","meetings-architecture.md §2.3, §2.4, §2.5","AC:
- POST /api/projects/{projectId}/escalations creates an escalation per §2.3
- Accepts body: {raised_date: string, description: string, severity: 'low'|'medium'|'high'|'critical', raised_by: string} per §2.3
- Validates description max 2000 chars, raised_by max 200 chars per §2.3
- Sets status='open', created_at=now() per §2.3
- Returns 201 with created escalation per §2.3
- PATCH /api/projects/{projectId}/escalations/{escalationId}/resolve resolves an escalation per §2.4
- Accepts body: {resolved_date: string, resolution_notes: string} per §2.4
- Sets status='resolved', resolved_date, resolution_notes per §2.4
- Returns 409 {code: 'ALREADY_RESOLVED'} if status already 'resolved' per §2.4
- GET /api/projects/{projectId}/escalations returns all escalations per §2.5
- Supports filter: severity, status per §2.5
- Sorted by raised_date DESC; open escalations first per §2.5
- Auth: pm, leadership, admin for create/resolve; all roles for list per §2.3","Escalation lifecycle management."
"DP-22","Meetings","Sprint 5","Discovery Sessions Handlers (create + list)","Backend","3","High","Backlog","DP-02,DP-03","meetings-architecture.md §2.6, §2.7","AC:
- POST /api/projects/{projectId}/discovery-sessions creates a discovery session per §2.6
- Accepts body: {session_date: string, meeting_link?: string, participants: string, notes?: string} per §2.6
- session_number auto-assigned as MAX(session_number)+1 for project per §2.6
- Validates participants max 1000 chars, notes max 4000 chars per §2.6
- Returns 201 with created session including assigned session_number per §2.6
- GET /api/projects/{projectId}/discovery-sessions returns all sessions sorted by session_number ASC per §2.7
- Each session shows: 'Discovery Session [N]', session_date, meeting_link, participants, notes per §2.7
- Auth: pm, sa, leadership, admin for create; all roles for list per §2.6, §2.7","Phase 1 discovery tracking. Auto-numbered."
"DP-23","Gates","Sprint 5","Checkpoint Notes Lambda (add + list)","Backend","3","High","Backlog","DP-02,DP-03","gates-architecture.md §2.5, §2.6","AC:
- POST /api/projects/{projectId}/checkpoints/{checkpointId}/notes adds a note per §2.5
- Accepts body: {note_text: string} per §2.5
- Validates note_text max 4000 chars; returns 400 {code: 'VALIDATION_ERROR', field: 'note_text', message: 'Note exceeds 4000 character limit'} if exceeded per FR-P2-017
- Sets author=current user email, created_at=now() per §2.5
- Notes are append-only — no edit or delete endpoints per FR-P2-017
- Returns 201 with created note per §2.5
- GET /api/projects/{projectId}/checkpoints/{checkpointId}/notes returns all notes sorted by created_at ASC per §2.6
- Each note shows: note_text, author, created_at per §2.6
- Auth: pm, sa, leadership, admin for create; all roles for list per §2.5","Append-only notes on any checkpoint."
"DP-24","Gates","Sprint 5","Executive Check-in & Planning Checkpoint Handlers","Backend","4","High","Backlog","DP-02,DP-03,DP-11","gates-architecture.md §4, §7, FR-P2-024, FR-P2-026, FR-P2-027","AC:
- Kickoff Prep Meeting checkpoint seeded in Phase 1 with checkpoint_type='meeting' per FR-P2-026
- Executive Check-in Call 1 seeded in Phase 3 with checkpoint_type='meeting' per FR-P2-024
- Executive Check-in Call 2 seeded in Phase 4 with checkpoint_type='meeting' per FR-P2-024
- Account Planning Session seeded in Phase 4 with checkpoint_type='meeting' per FR-P2-027
- All completed via PATCH /api/projects/{projectId}/checkpoints/{checkpointId} with meeting-type payload per §2.2
- result_detail captured for Account Planning ('Revenue opportunities noted' text) per FR-P2-027
- Verify all 4 are included in default CASDM template seed data in casdm_config per §7
- Insert seed rows for these checkpoints in V003 or config seed script","These checkpoints use existing completion Lambda (DP-11). This story seeds them."
"DP-25","Projects","Sprint 5","Project Closure Workflow Lambda","Backend","6","High","Backlog","DP-02,DP-03,DP-05,DP-11","projects-architecture.md §6, FR-P2-023","AC:
- POST /api/projects/{projectId}/close initiates closure per §6
- Validates all 4 Phase 4 closure checkpoints are complete per FR-P2-023:
  1. 'Request Signoff from Business Ops' — occurred=true
  2. 'Share Signoff with Customer' — occurred=true
  3. 'Project Closure Meeting/Email' — occurred=true
  4. 'Create Project Closure Deck' — has file_upload evidence attached
- If any incomplete, returns 400 {code: 'CLOSURE_INCOMPLETE', message: 'Not all closure items are complete', missing: string[]} per §6
- If all complete: sets projects.status='Closed' per FR-P2-023
- Returns 200 {status: 'Closed', closed_at: timestamp}
- POST /api/projects/{projectId}/reopen reverses closure (Leadership/Admin only) per FR-P2-023
- Sets status back to 'Active' per §6
- Auth: pm, leadership, admin for close; leadership, admin for reopen per §6","Phase 4 closure with 4 prerequisites."
"DP-26","Frontend","Sprint 6","Escalation Board UI","Frontend","3","High","Backlog","DP-21,DP-15","meetings-architecture.md §2.3, §2.4, §2.5, FR-P2-021","AC:
- Escalation section on project detail page per FR-P2-021
- 'Log Escalation' button opens form: raised_date (date picker), description (textarea, max 2000), severity (dropdown: low/medium/high/critical), raised_by (text) per FR-P2-021
- On submit calls POST /api/projects/{projectId}/escalations per meetings-architecture §2.3
- Escalation list shows cards sorted by raised_date DESC per FR-P2-021
- Open escalations visually highlighted (red border/badge) per FR-P2-021
- Severity filter dropdown per FR-P2-021
- 'Resolve' button on open escalations opens form: resolved_date, resolution_notes per FR-P2-021
- On resolve calls PATCH /escalations/{id}/resolve per meetings-architecture §2.4
- Resolved escalations show resolution notes and date","Escalation raise/resolve workflow."
"DP-27","Frontend","Sprint 6","Discovery Sessions UI","Frontend","3","High","Backlog","DP-22,DP-15","meetings-architecture.md §2.6, §2.7, FR-P2-025","AC:
- Discovery Sessions section under Phase 1 on project detail page per FR-P2-025
- 'Log Discovery Session' button opens form: session_date (date picker), meeting_link (optional), participants (textarea), notes (textarea) per FR-P2-025
- On submit calls POST /api/projects/{projectId}/discovery-sessions per meetings-architecture §2.6
- Session number auto-displayed after creation per FR-P2-025
- List shows all sessions in order: 'Discovery Session [N]', date, meeting link (clickable), participants, notes per FR-P2-025
- No edit or delete — append-only list","Phase 1 discovery session tracking."
"DP-28","Frontend","Sprint 6","Checkpoint Notes UI + Project Closure UI","Frontend","4","High","Backlog","DP-23,DP-25,DP-15","gates-architecture.md §2.5, §2.6, projects-architecture.md §6, FR-P2-017, FR-P2-023","AC:
- 'Add Note' button on each macro checkpoint opens inline text area per FR-P2-017
- Character count displayed; max 4000 chars enforced client-side per FR-P2-017
- On submit calls POST /checkpoints/{id}/notes per gates-architecture §2.5
- Notes list shows author and timestamp, sorted chronologically per FR-P2-017
- Notes cannot be edited or deleted per FR-P2-017
- Project Closure section visible on Phase 4 of project detail per FR-P2-023
- Shows 4 closure items as checklist with completion status per FR-P2-023
- When all 4 complete, 'Close Project' button appears per FR-P2-023
- Confirmation dialog: 'All closure items complete. Close this project?' per FR-P2-023
- On confirm calls POST /api/projects/{projectId}/close per projects-architecture §6
- Closed projects show 'Closed' badge; Leadership sees 'Reopen' button per FR-P2-023","Combined: checkpoint notes + closure flow."
"DP-29","Reporting","Sprint 6","Reporting Domain Handlers (summary + timeline)","Backend","4","High","Backlog","DP-02,DP-03,DP-10","reporting-architecture.md §2.1, §2.2","AC:
- GET /api/reporting/summary returns ReportingSummaryResponse per §2.1
- Includes: total_active_projects, projects_by_phase[], stalled_projects[], gate_completion_rates[] per §2.1
- Stalled = projects with no checkpoint activity in 14+ days per §2.1
- Auth: leadership, admin only per §2.1
- GET /api/reporting/projects/{projectId}/timeline returns full timeline per §2.2
- Timeline merges: governance_events + macro_checkpoints + gate_evidence chronologically per §2.2
- Each event: event_id, event_type, event_timestamp, phase, title, actor, detail, source per §2.2
- Auth: all authenticated roles per §2.2
- Returns 404 if projectId not found per §2.2","Read-only reporting. Joins all tables."
"DP-30","Frontend","Sprint 6","Leadership View UI","Frontend","3","Medium","Backlog","DP-29,DP-15","reporting-architecture.md §2.1, FR-P2-010","AC:
- Leadership dashboard renders at /dashboard route (visible to leadership/admin only) per FR-P2-010
- Shows total active projects count per reporting-architecture §2.1
- Projects by phase: bar chart or count cards per reporting-architecture §2.1
- Stalled projects section: list of projects with no activity in 14+ days per §2.1
- Gate completion rates: table showing completion % per checkpoint type per §2.1
- Click any project name navigates to /projects/{projectId} per FR-P2-010
- Route protected: non-leadership/admin users redirected to /projects per FR-P2-010","Cross-project view for leadership."
"DP-31","Frontend","Sprint 6","Micro Artifact Status UI + Phase Progression Visual","Frontend","3","Medium","Backlog","DP-10,DP-15","gates-architecture.md §2.1, §2.4, FR-P2-007, FR-P2-014","AC:
- Micro artifacts displayed within each phase section on project detail per FR-P2-007
- Each artifact shows: name, status badge (pending=grey, in_progress=blue, complete=green), completed_at date per FR-P2-007
- Status update: PM/SA can click artifact → change status via PATCH /api/projects/{projectId}/artifacts/{artifactId} per gates-architecture §2.4
- Status transitions: pending → in_progress → complete only (no backwards) per FR-P2-007
- Phase progression bar at top of project detail: 5 circles connected by line per FR-P2-014
- Completed phases: solid green circle per FR-P2-014
- Current phase: blue outlined circle per FR-P2-014
- Future phases: grey outlined circle per FR-P2-014
- Hovering phase circle shows phase_name tooltip per FR-P2-014","Micro artifact management + visual progression."
"DP-32","Config","Sprint 7","CASDM Config CRUD Handlers","Backend","5","High","Backlog","DP-02,DP-03","config-architecture.md §3.1, §3.2, §3.3, §3.4, §3.5, FR-P2-006, FR-P2-016","AC:
- GET /api/admin/config?project_type={type} returns full CASDM template tree per config-architecture §3.1
- Response: phases[] with nested items[] per §3.1
- POST /api/admin/config/phases adds a new phase per §3.2
- Accepts: {phase_name, phase_order, project_type} per §3.2
- POST /api/admin/config/items adds a new gate/artifact to a phase per §3.3
- Accepts: {phase, item_name, item_order, config_type, item_type, is_mandatory, project_type} per §3.3
- PATCH /api/admin/config/items/{id} updates item_name, item_order, is_mandatory per §3.4
- PATCH /api/admin/config/items/{id}/deactivate sets is_active=false per §3.5
- All mutations set changed_by=current user, updated_at=now() per FR-P2-006
- Changes only affect newly-created projects per FR-P2-006
- Auth: leadership, admin only for all endpoints per FR-P2-016
- Returns 403 for non-leadership/admin per FR-P2-016","Admin CRUD for methodology template."
